CommCode,Total Seps,Campus Code,CampusSeps
T084,58.867379296392,1122,41.8161383967474
T085,2764.61501407766,1590,1812.90169976582
T086,2969.34301919784,2060,2649.17609149887
T087,164.077740202625,1072,117.598380350004
T088,289.835342761555,1352,137.865163040426
T089,433.72709300563,1050,293.401892696347
T090,232.034374033435,1220,81.0520597411604
T091,74.0855255732145,1670,61.2295079002155
T092,4671.1493259405,2190,3239.33873521245
T093,476.88021974187,3330,283.502007981713
T094,215.4051937545,3020,99.4177817328461
T095,110.781037312901,1160,103.06440841858
T096,234.466706661463,1022,137.341339500727
T097,79.385210071677,2020,63.6101159445577
T098,841.098179962699,1122,410.881294809365
T099,59.3199566559461,1900,35.1668798416358
T100,45.0258309891337,4460,19.2736470780824
T101,50.9538630139938,2230,26.5534215706728
T102,389.622000318519,4460,179.342692896902
T103,7.75816126304425,2170,3.95992220292395
T104,247.254547476208,1590,83.5170915919637
T105,181.983696277262,1180,44.2923281944658
T106,45.4081190440112,1270,19.3652272393577
T107,1409.6438326762,1335,250.909700039224
T108,194.956631964869,2450,114.709331433875
T109,73.0130742640028,1160,55.0508600942709
T110,82.7481716319124,1160,62.3939776162244
T111,102.204173599965,2070,71.8141509312182
T112,61.0217163228781,1022,43.8928134954035
T113,101.182681816432,2020,67.9947621806423
T114,94.5341602765424,2180,36.1888582308639
T115,156.831714781965,1700,25.456100493897
T116,11.4789706845526,1102,3.70289376921051
T117,171.854461010595,3690,70.6948893422191
T118,64.0522499190473,5050,29.8942800302967
T119,169.957818239313,2190,109.617764426539
T120,111.409157184369,2320,57.5336841578979
T121,3939.70222312702,1072,3188.75939661911
T122,185.173516667193,1022,117.975562165094
T123,78.1676584428666,1883,23.4584146313483
T124,77.4898388309332,1290,20.0477881314358
T125,138.754044285796,2450,116.656467171063
T126,2323.03288715162,1220,755.808070162278
T127,734.558139663839,1022,328.995104920052
T128,473.440958285231,2070,287.429130004638
T129,498.80933947074,2480,151.473294830106
T130,149.363173841174,2180,47.825646796435
T131,164.5541380048,3030,49.6550011400064
T132,6487.1685639892,2180,5283.15488956604
T133,325.482399280235,2060,286.271075752804
T134,392.828390746499,1022,275.033174525364
T135,126.199722117208,2060,103.574273928864
T136,1463.21294664202,1700,637.561706382341
T137,221.776977309802,2180,93.9615854022836
T138,354.52541692284,2180,133.407693270341
T139,76.1486559717839,1122,41.4058316846575
T140,43.2574761799431,1122,30.2552290044689
T141,1468.24046421011,2251,735.755243757849
T142,58.1099304048092,1122,48.2585829799461
T143,49.4947697275597,1670,40.9059714513067
T144,142.346228503406,1700,88.1673326975696
T145,1757.16823245821,3590,477.791811522344
T146,234.552850407439,1290,50.9613384189753
T147,208.477579809164,1290,81.7767378772573
T148,596.374931387098,2120,137.624984166253
T149,273.201663502379,1022,73.5193845305404
T150,516.473390358431,2170,414.743773001855
T151,1328.80219988931,2252,357.212861319936
T152,2852.91003655268,1270,1628.43713502395
T153,1233.15871114241,1280,427.203271287188
T154,281.115609447677,1492,191.186938415296
T155,36.9510288563919,2020,29.1270589504307
T156,261.829361381531,1050,175.252076093751
T157,2600.13187786967,1050,1742.72180097355
T158,305.273235407199,1280,60.7558478298178
T159,316.762870567527,1700,51.4152859777919
T160,2264.94129399449,2060,1933.13460761313
T161,60.3887492232909,2020,48.3885516757089
T162,78.5537144671849,2140,38.7338592073216
T163,1712.60461504524,2260,968.826040418655
T164,2956.91373183692,2060,2729.26479358053
T165,84.3407216053231,2060,76.882018334104
T166,469.489377461127,1050,379.460424932047
T167,76.4080699554,2020,49.9591226631462
T168,92.9680748367767,3110,38.1111362684923
T169,51.1024506955015,2060,19.409103869926
T170,212.2680137694,2070,148.31179381593
T171,145.879276599589,2190,57.9378687204041
T172,232.73421849713,1590,124.881775778948
T173,243.199437739368,2060,113.245539710698
T174,79.6449915671754,1072,26.1269284506078
T175,450.376593358972,1335,105.61125309049
T176,1604.10252877746,2070,982.128674707428
T177,464.169846803342,1022,226.162950872588
T178,169.798358970674,1050,48.7926318881247
T179,134.511332379547,1022,53.1402794585865
T180,79.8554550541405,2330,24.8199387330437
T181,1066.69745568454,2700,624.30742561382
T182,44.4997196336518,2060,16.7328646033895
T183,300.931698675541,5110,203.11997217839
T184,79.2522628043601,1022,65.7462501721058
T185,3541.90289041581,1352,2146.36050732571
T186,80.6042095926141,3670,23.2547623909851
T187,34.8725622415078,3020,7.70440328591452
T188,182.130643335273,2260,49.8667857688021
T189,16195.9910194921,3690,3452.1077323271
T190,507.698297705484,2330,473.660365718363
T191,59.6889015322212,2060,39.7926010214808
T192,65.7083276300101,1072,28.2430531041272
T193,146.655403269421,1122,75.7318885735535
T194,351.741711191285,1050,247.898665712022
T195,50.8946660654484,1160,42.5231415027215
T196,10047.2252717629,2330,9058.53203840288
T197,407.600205713601,1220,142.379060695755
T198,217.811367896331,2180,125.052583460985
T199,438.893032360106,2450,205.241920020446
T200,5667.43237800694,2450,4106.34769130578
